item	itemLabel	wordnet_id	MESH	CUI	ICD-10	SNOMED-CT	wordnet30_id	sense
http://www.wikidata.org/entity/Q1229512	Edmond Malone	11172112-n					11152122-n	edmund_malone%1:18:00:: malone%1:18:00:: edmond_malone%1:18:00::
http://www.wikidata.org/entity/Q1232589	replica	04083645-n					04076533-n	reproduction%1:06:00:: replication%1:06:00:: replica%1:06:00::
http://www.wikidata.org/entity/Q1235172	Luna	09594427-n					09571249-n	luna%1:18:00::
http://www.wikidata.org/entity/Q1239783	Severn River	09453894-n					09430990-n	severn_river%1:17:01:: severn%1:17:01::
http://www.wikidata.org/entity/Q1249412	Galatia	08719110-n					08701296-n	galatia%1:15:00::
http://www.wikidata.org/entity/Q1252904	Ra	09536351-n					09513216-n	ra%1:18:00:: re%1:18:00::
http://www.wikidata.org/entity/Q1262196	Allamanda	11790090-n					11769621-n	allamanda%1:20:00::
http://www.wikidata.org/entity/Q1270515	octroi	13338444-n					13317422-n	octroi%1:21:00::
http://www.wikidata.org/entity/Q1275331	oxtail	02161146-n					02158494-n	oxtail%1:05:00::
http://www.wikidata.org/entity/Q1283556	guy-wire	03476902-n					03471779-n	guy_cable%1:06:00:: guy_rope%1:06:00:: guy_wire%1:06:00:: guy%1:06:00::
http://www.wikidata.org/entity/Q1284379	pecan pie	07642211-n					07626602-n	pecan_pie%1:13:00::
http://www.wikidata.org/entity/Q1286070	parapet	03895323-n					03889626-n	parapet%1:06:01::
http://www.wikidata.org/entity/Q1303417	boundary	13926085-n					13903079-n	bound%1:25:00:: edge%1:25:00:: boundary%1:25:00::
http://www.wikidata.org/entity/Q1309178	understudy	10756760-n					10737103-n	understudy%1:18:00:: standby%1:18:00::
http://www.wikidata.org/entity/Q1310886	iceberg lettuce	07740014-n					07724269-n	crisphead_lettuce%1:13:00:: iceberg_lettuce%1:13:00:: iceberg%1:13:00::
